date,Brazil,Russia,India,China,South Africa,USA
2000,42.52264625,167.5039675,16.54654149,35.6471922,96.15287984,319.47567
2001,42.67713028,170.0460234,16.49605799,36.82979638,97.58611573,310.3961138
2002,43.23521668,170.0386008,16.70447392,39.05031396,94.53725488,311.0090846
2003,43.39679324,176.9028359,16.82437768,44.34873751,99.85847993,309.061772
2004,45.2630999,178.186745,17.43537136,50.28477788,107.7081219,312.5251542
2005,45.87440315,180.0592196,17.83438951,55.26349679,106.2116494,311.1341822
2006,46.95444243,185.9070766,18.48359809,60.08058904,104.1196242,305.2320043
2007,49.10625227,186.7576706,19.23546576,64.64053401,110.0604016,307.6315205
2008,51.329542,191.2495495,19.88814797,66.33501255,116.9812892,296.9219827
2009,49.17626466,179.677338,21.59586541,70.51952852,113.0930294,279.8198812
2010,53.86816479,191.0875641,22.27102263,77.50984873,109.7621749,283.9702164
2011,54.21257474,200.2229946,22.91897236,82.73464886,107.7226401,278.7591456
2012,56.05821568,204.8855043,23.75803557,85.45790613,104.5487643,272.4967991
2013,57.93550595,201.3809012,24.02123876,87.78133246,103.2055601,273.8269241
2014,59.30211035,195.997909,25.24166732,88.69217592,106.8802951,276.0091994